Cycle,Battery#1,#1_SOH,Battery#2,#2_SOH,Battery#3,#3_SOH,,Battery#4,#4 SOH,Battery#5,#5 SOH,Battery#6,#6 SOH,,Battery#7,#7 SOH,Battery#8,#8 SOH,Battery#9,#9 SOH
41,1.0858839,0.987167182,1.0818409,0.983491727,1.0766598,0.978781636,,1.0734261,0.975841909,1.0719969,0.974542636,1.0823579,0.983961727,,1.0710026,0.973638727,1.0685861,0.971441909,1.0679255,0.970841364
42,1.0858977,0.987179727,1.0818423,0.983493,1.0766748,0.978795273,,1.0732435,0.975675909,1.0714833,0.974075727,1.0815949,0.983268091,,1.0709615,0.973601364,1.0685564,0.971414909,1.0678222,0.970747455
43,1.0859399,0.987218091,1.081903,0.983548182,1.0768414,0.978946727,,1.0730845,0.975531364,1.0717818,0.974347091,1.0820994,0.983726727,,1.0709077,0.973552455,1.0684845,0.971349545,1.0677673,0.970697545
44,1.0860239,0.987294455,1.0819272,0.983570182,1.0766555,0.978777727,,1.072794,0.975267273,1.0716355,0.974214091,1.0820423,0.983674818,,1.0708535,0.973503182,1.068445,0.971313636,1.067739,0.970671818
45,1.0859478,0.987225273,1.0817856,0.983441455,1.0766659,0.978787182,,1.0731082,0.975552909,1.0712587,0.973871545,1.0814414,0.983128545,,1.0706104,0.973282182,1.0684531,0.971321,1.0677729,0.970702636
46,1.085932,0.987210909,1.0818145,0.983467727,1.0766661,0.978787364,,1.0728576,0.975325091,1.0715584,0.974144,1.0818782,0.983525636,,1.0707922,0.973447455,1.068534,0.971394545,1.0678387,0.970762455
47,1.0860084,0.987280364,1.0818409,0.983491727,1.0743055,0.976641364,,1.0729516,0.975410545,1.0717179,0.974289,1.0817398,0.983399818,,1.0707623,0.973420273,1.068581,0.971437273,1.06785,0.970772727
48,1.0858871,0.987170091,1.0818337,0.983485182,1.0768253,0.978932091,,1.0729783,0.975434818,1.0712625,0.973875,1.0812042,0.982912909,,1.0706935,0.973357727,1.0686094,0.971463091,1.0678066,0.970733273
49,1.0858485,0.987135,1.0817146,0.983376909,1.0767562,0.978869273,,1.0726583,0.975143909,1.0713923,0.973993,1.0816213,0.983292091,,1.0708975,0.973543182,1.0686371,0.971488273,1.0677624,0.970693091
50,1.085833,0.987120909,1.0816857,0.983350636,1.0767081,0.978825545,,1.0725901,0.975081909,1.0713978,0.973998,1.0816609,0.983328091,,1.0709598,0.973599818,1.0685687,0.971426091,1.0677623,0.970693
51,1.0857935,0.987085,1.0816711,0.983337364,1.076677,0.978797273,,1.0729892,0.975444727,1.0712626,0.973875091,1.0814126,0.983102364,,1.070883,0.97353,1.0686038,0.971458,1.0678195,0.970745
52,1.0857363,0.987033,1.0816325,0.983302273,1.0767009,0.978819,,1.0729107,0.975373364,1.0713413,0.973946636,1.0817493,0.983408455,,1.0708804,0.973527636,1.0685227,0.971384273,1.0678132,0.970739273
53,1.0857573,0.987052091,1.0816261,0.983296455,1.076785,0.978895455,,1.0723069,0.974824455,1.0711987,0.973817,1.0816536,0.983321455,,1.0708002,0.973454727,1.0685833,0.971439364,1.0678291,0.970753727
54,1.0857081,0.987007364,1.0815685,0.983244091,1.076645,0.978768182,,1.0727061,0.975187364,1.0711303,0.973754818,1.0812764,0.982978545,,1.0707842,0.973440182,1.0685636,0.971421455,1.0677959,0.970723545
55,1.0857319,0.987029,1.0815827,0.983257,1.0766542,0.978776545,,1.0726289,0.975117182,1.0711432,0.973766545,1.081344,0.98304,,1.0706327,0.973302455,1.0685092,0.971372,1.0678114,0.970737636
56,1.0858471,0.987133727,1.0815943,0.983267545,1.0753976,0.977634182,,1.0726967,0.975178818,1.0710493,0.973681182,1.0812129,0.982920818,,1.0707921,0.973447364,1.0684525,0.971320455,1.0678129,0.970739
57,1.0858817,0.987165182,1.0816603,0.983327545,1.0765858,0.978714364,,1.0723484,0.974862182,1.0709599,0.973599909,1.0811806,0.982891455,,1.0706505,0.973318636,1.0684069,0.971279,1.067795,0.970722727
58,1.0858759,0.987159909,1.0816344,0.983304,1.0752628,0.977511636,,1.0717943,0.974358455,1.0708671,0.973515545,1.0812596,0.982963273,,1.0706799,0.973345364,1.0684903,0.971354818,1.0676023,0.970547545
59,1.0859101,0.987191,1.0816207,0.983291545,1.0767044,0.978822182,,1.0727767,0.975251545,1.0710877,0.973716091,1.0807669,0.982515364,,1.0705699,0.973245364,1.0684768,0.971342545,1.0676433,0.970584818
60,1.0858313,0.987119364,1.0816126,0.983284182,1.0769024,0.979002182,,1.0723987,0.974907909,1.0708458,0.973496182,1.08109,0.982809091,,1.0706924,0.973356727,1.0684302,0.971300182,1.0675874,0.970534
61,1.0857759,0.987069,1.0815406,0.983218727,1.0770562,0.979142,,1.072428,0.974934545,1.0708305,0.973482273,1.0810708,0.982791636,,1.0705771,0.973251909,1.0683568,0.971233455,1.0675663,0.970514818
62,1.0857108,0.987009818,1.0814815,0.983165,1.0770824,0.979165818,,1.0725834,0.975075818,1.0704795,0.973163182,1.0804445,0.982222273,,1.0703943,0.973085727,1.0683459,0.971223545,1.0676422,0.970583818
63,1.085923,0.987202727,1.0816796,0.983345091,1.0769807,0.979073364,,1.072397,0.974906364,1.0706227,0.973293364,1.0808207,0.982564273,,1.0705042,0.973185636,1.0683408,0.971218909,1.0676295,0.970572273
64,1.086134,0.987394545,1.0818805,0.983527727,1.0765196,0.978654182,,1.0720383,0.974580273,1.0705568,0.973233455,1.0808644,0.982604,,1.0705535,0.973230455,1.0683722,0.971247455,1.0675592,0.970508364
65,1.0862314,0.987483091,1.0819483,0.983589364,1.0765632,0.978693818,,1.0728219,0.975292636,1.0703062,0.973005636,1.080199,0.981999091,,1.0705276,0.973206909,1.0682427,0.971129727,1.0674949,0.970449909
66,1.0862148,0.987468,1.0819383,0.983580273,1.0766724,0.978793091,,1.0725664,0.975060364,1.0706053,0.973277545,1.0806749,0.982431727,,1.0705111,0.973191909,1.0681705,0.971064091,1.067502,0.970456364
67,1.0856748,0.986977091,1.0814322,0.983120182,1.0765343,0.978667545,,1.0726123,0.975102091,1.0705417,0.973219727,1.0807055,0.982459545,,1.0703456,0.973041455,1.0680616,0.970965091,1.0674942,0.970449273
68,1.08556,0.986872727,1.0813652,0.983059273,1.0766476,0.978770545,,1.0726277,0.975116091,1.0701832,0.972893818,1.0801034,0.981912182,,1.0702859,0.972987182,1.0680449,0.970949909,1.0674529,0.970411727
69,1.0855246,0.986840545,1.0812522,0.982956545,1.0766002,0.978727455,,1.0723283,0.974843909,1.0702909,0.972991727,1.0804672,0.982242909,,1.0704138,0.973103455,1.0680326,0.970938727,1.0673673,0.970333909
70,1.0855196,0.986836,1.081252,0.982956364,1.0753345,0.977576818,,1.0722674,0.974788545,1.0702658,0.972968909,1.080282,0.982074545,,1.070194,0.972903636,1.0678819,0.970801727,1.0673575,0.970325
71,1.0856328,0.986938909,1.0813366,0.983033273,1.0763972,0.978542909,,1.0724331,0.974939182,1.0700182,0.972743818,1.0798868,0.981715273,,1.0700907,0.972809727,1.0677588,0.970689818,1.0673512,0.970319273
72,1.0856695,0.986972273,1.0813701,0.983063727,1.07514,0.9774,,1.0722408,0.974764364,1.0701123,0.972829364,1.0801293,0.981935727,,1.0701027,0.972820636,1.0679014,0.970819455,1.0672475,0.970225
73,1.0857404,0.987036727,1.0813349,0.983031727,1.0763736,0.978521455,,1.0721842,0.974712909,1.0700556,0.972777818,1.0800828,0.981893455,,1.0700753,0.972795727,1.0677652,0.970695636,1.067245,0.970222727
74,1.0856586,0.986962364,1.0813159,0.983014455,1.0762513,0.978410273,,1.0722828,0.974802545,1.0699643,0.972694818,1.079933,0.981757273,,1.0700533,0.972775727,1.0676337,0.970576091,1.0672034,0.970184909
75,1.0856991,0.986999182,1.0813411,0.983037364,1.0763264,0.978478545,,1.0723509,0.974864455,1.0699797,0.972708818,1.0801029,0.981911727,,1.0700538,0.972776182,1.0679919,0.970901727,1.0675331,0.970484636
76,1.0856384,0.986944,1.0812777,0.982979727,1.0762902,0.978445636,,1.0721304,0.974664,1.069844,0.972585455,1.0798789,0.981708091,,1.0699601,0.972691,1.0677494,0.970681273,1.0671766,0.970160545
77,1.0855706,0.986882364,1.0812092,0.982917455,1.0763192,0.978472,,1.0722709,0.974791727,1.0698409,0.972582636,1.0797811,0.981619182,,1.0702442,0.972949273,1.0676951,0.970631909,1.0671432,0.970130182
78,1.0855303,0.986845727,1.0811901,0.982900091,1.0762045,0.978367727,,1.0718652,0.974422909,1.0696278,0.972388909,1.0798219,0.981656273,,1.0700582,0.972780182,1.0678256,0.970750545,1.0670931,0.970084636
79,1.0854447,0.986767909,1.0811335,0.982848636,1.0762365,0.978396818,,1.0719026,0.974456909,1.0695889,0.972353545,1.0791527,0.981047909,,1.069908,0.972643636,1.0676397,0.970581545,1.067136,0.970123636
80,1.0853778,0.986707091,1.0810794,0.982799455,1.0762444,0.978404,,1.0717765,0.974342273,1.0695542,0.972322,1.0794684,0.981334909,,1.0699617,0.972692455,1.0677133,0.970648455,1.0670671,0.970061
81,1.0853372,0.986670182,1.0810466,0.982769636,1.0761995,0.978363182,,1.0718631,0.974421,1.0694866,0.972260545,1.0793121,0.981192818,,1.0700866,0.972806,1.0677104,0.970645818,1.0670099,0.970009
82,1.085281,0.986619091,1.0809687,0.982698818,1.0761882,0.978352909,,1.0720828,0.974620727,1.0690756,0.971886909,1.0787283,0.980662091,,1.0701522,0.972865636,1.0676539,0.970594455,1.0670369,0.970033545
83,1.0851364,0.986487636,1.0809135,0.982648636,1.0762265,0.978387727,,1.0716144,0.974194909,1.0692084,0.972007636,1.0789819,0.980892636,,1.0700898,0.972808909,1.0676322,0.970574727,1.067011,0.97001
84,1.0851827,0.986529727,1.0809121,0.982647364,1.0763329,0.978484455,,1.0714154,0.974014,1.0692024,0.972002182,1.0790625,0.980965909,,1.0700212,0.972746545,1.0676154,0.970559455,1.0669609,0.969964455
85,1.0851971,0.986542818,1.0808662,0.982605636,1.0760512,0.978228364,,1.0721986,0.974726,1.0689459,0.971769,1.0785241,0.980476455,,1.0700289,0.972753545,1.0676601,0.970600091,1.0670202,0.970018364
86,1.0852234,0.986566727,1.0808834,0.982621273,1.0762264,0.978387636,,1.0720749,0.974613545,1.0692471,0.972042818,1.0790191,0.980926455,,1.070035,0.972759091,1.0677274,0.970661273,1.0670849,0.970077182
87,1.0852056,0.986550545,1.080853,0.982593636,1.076053,0.97823,,1.0716875,0.974261364,1.0689956,0.971814182,1.0791998,0.981090727,,1.0700467,0.972769727,1.0677521,0.970683727,1.0670785,0.970071364
88,1.0852865,0.986624091,1.0809195,0.982654091,1.0749464,0.977224,,1.0717331,0.974302818,1.0686473,0.971497545,1.0784252,0.980386545,,1.0701627,0.972875182,1.0676652,0.970604727,1.0670785,0.970071364
89,1.085299,0.986635455,1.0809104,0.982645818,1.0761249,0.978295364,,1.0715588,0.974144364,1.068769,0.971608182,1.0786941,0.980631,,1.0701481,0.972861909,1.0676517,0.970592455,1.0669712,0.969973818
90,1.0852487,0.986589727,1.0809323,0.982665727,1.0760405,0.978218636,,1.0715959,0.974178091,1.0688277,0.971661545,1.0785097,0.980463364,,1.0700129,0.972739,1.0674778,0.970434364,1.066873,0.969884545
91,1.0853715,0.986701364,1.0810022,0.982729273,1.0748079,0.977098091,,1.0716558,0.974232545,1.068567,0.971424545,1.0781071,0.980097364,,1.0697918,0.972538,1.0673678,0.970334364,1.0668215,0.969837727
92,1.0852418,0.986583455,1.0809057,0.982641545,1.0759902,0.978172909,,1.0717136,0.974285091,1.0687122,0.971556545,1.0782902,0.980263818,,1.0698298,0.972572545,1.0673813,0.970346636,1.066802,0.96982
93,1.0852273,0.986570273,1.0809215,0.982655909,1.0758985,0.978089545,,1.0716895,0.974263182,1.0686334,0.971484909,1.0785232,0.980475636,,1.0697356,0.972486909,1.067345,0.970313636,1.0668062,0.969823818
94,1.0852255,0.986568636,1.0809017,0.982637909,1.0758245,0.978022273,,1.0714576,0.974052364,1.068328,0.971207273,1.0780711,0.980064636,,1.0696186,0.972380545,1.0672818,0.970256182,1.0667355,0.969759545
95,1.08509,0.986445455,1.0808159,0.982559909,1.0758753,0.978068455,,1.0713838,0.973985273,1.0682749,0.971159,1.0780545,0.980049545,,1.0695728,0.972338909,1.0673332,0.970302909,1.066642,0.969674545
96,1.0851239,0.986476273,1.0807959,0.982541727,1.0758419,0.978038091,,1.0712529,0.973866273,1.0679524,0.970865818,1.0776212,0.979655636,,1.0694505,0.972227727,1.0671659,0.970150818,1.0666676,0.969697818
97,1.0850123,0.986374818,1.0806749,0.982431727,1.0759112,0.978101091,,1.0710881,0.973716455,1.0679668,0.970878909,1.0777504,0.979773091,,1.0694718,0.972247091,1.0672036,0.970185091,1.0665992,0.969635636
98,1.0849537,0.986321545,1.0806487,0.982407909,1.0758784,0.978071273,,1.0708939,0.973539909,1.0678301,0.970754636,1.077715,0.979740909,,1.0695231,0.972293727,1.0671537,0.970139727,1.0665662,0.969605636
99,1.0849404,0.986309455,1.0806297,0.982390636,1.0759126,0.978102364,,1.0712724,0.973884,1.067667,0.970606364,1.0771812,0.979255636,,1.0695093,0.972281182,1.0671253,0.970113909,1.0665587,0.969598818
100,1.0849447,0.986313364,1.0806502,0.982409273,1.0758415,0.978037727,,1.0710108,0.973646182,1.0676695,0.970608636,1.0773104,0.979373091,,1.0694544,0.972231273,1.067026,0.970023636,1.0664401,0.969491
101,1.0849578,0.986325273,1.0806355,0.982395909,1.0757886,0.977989636,,1.071236,0.973850909,1.0677512,0.970682909,1.077315,0.979377273,,1.0694734,0.972248545,1.0670043,0.970003909,1.0664533,0.969503
102,1.0849718,0.986338,1.080663,0.982420909,1.0758218,0.978019818,,1.0711668,0.973788,1.0672203,0.970200273,1.0766592,0.978781091,,1.0694743,0.972249364,1.0669307,0.969937,1.066389,0.969444545
103,1.084981,0.986346364,1.0806745,0.982431364,1.0757833,0.977984818,,1.0708274,0.973479455,1.0673387,0.970307909,1.0769571,0.979051909,,1.0694705,0.972245909,1.0669866,0.969987818,1.0663484,0.969407636
104,1.0851059,0.986459909,1.0807188,0.982471636,1.0758278,0.978025273,,1.0706651,0.973331909,1.0671808,0.970164364,1.0769467,0.979042455,,1.069346,0.972132727,1.0668972,0.969906545,1.0662572,0.969324727
105,1.0849565,0.986324091,1.0806472,0.982406545,1.0758644,0.978058545,,1.0707211,0.973382818,1.0667953,0.969813909,1.0762324,0.978393091,,1.0693175,0.972106818,1.066848,0.969861818,1.0663195,0.969381364
106,1.0849079,0.986279909,1.0805749,0.982340818,1.0756383,0.977853,,1.0704178,0.973107091,1.0669585,0.969962273,1.0764755,0.978614091,,1.0692799,0.972072636,1.0668057,0.969823364,1.0662647,0.969331545
107,1.0848944,0.986267636,1.0805452,0.982313818,1.0757459,0.977950818,,1.0707779,0.973434455,1.0670145,0.970013182,1.0765777,0.978707,,1.0693401,0.972127364,1.0668195,0.969835909,1.0662624,0.969329455
108,1.0848737,0.986248818,1.0805323,0.982302091,1.0757282,0.977934727,,1.0705125,0.973193182,1.0665437,0.969585182,1.0759585,0.978144091,,1.0692537,0.972048818,1.0669346,0.969940545,1.0663031,0.969366455
109,1.0847815,0.986165,1.0804729,0.982248091,1.0756657,0.977877909,,1.0703021,0.973001909,1.0666729,0.969702636,1.0761296,0.978299636,,1.0691812,0.971982909,1.0668681,0.969880091,1.0663722,0.969429273
110,1.0847218,0.986110727,1.0804,0.982181818,1.0756232,0.977839273,,1.0706301,0.973300091,1.0667042,0.969731091,1.0761501,0.978318273,,1.0691663,0.971969364,1.0668604,0.969873091,1.0663533,0.969412091
111,1.084612,0.986010909,1.0803393,0.982126636,1.0756211,0.977837364,,1.0708073,0.973461182,1.0665849,0.969622636,1.0758777,0.978070636,,1.0693922,0.972174727,1.0668049,0.969822636,1.0663142,0.969376545
112,1.0845947,0.985995182,1.0803374,0.982124909,1.0756699,0.977881727,,1.0709314,0.973574,1.0666983,0.969725727,1.0761982,0.978362,,1.0693825,0.972165909,1.0668292,0.969844727,1.0663527,0.969411545
113,1.0845439,0.985949,1.0803201,0.982109182,1.0755961,0.977814636,,1.0703255,0.973023182,1.066471,0.969519091,1.0761104,0.978282182,,1.0692922,0.972083818,1.0668863,0.969896636,1.06627,0.969336364
114,1.0844989,0.985908091,1.0802414,0.982037636,1.0741987,0.976544273,,1.0703566,0.973051455,1.0662185,0.969289545,1.0756696,0.977881455,,1.0692488,0.972044364,1.0668457,0.969859727,1.0662662,0.969332909
115,1.0845442,0.985949273,1.0802473,0.982043,1.0756382,0.977852909,,1.0700984,0.972816727,1.0659961,0.969087364,1.0756534,0.977866727,,1.0694056,0.972186909,1.0667584,0.969780364,1.0662808,0.969346182
116,1.0845171,0.985924636,1.080231,0.982028182,1.0756032,0.977821091,,1.0710373,0.973670273,1.0662869,0.969351727,1.0757926,0.977993273,,1.0693105,0.972100455,1.0667282,0.969752909,1.066219,0.96929
117,1.0844411,0.985855545,1.0801288,0.981935273,1.0755146,0.977740545,,1.0703532,0.973048364,1.0659146,0.969013273,1.0753419,0.977583545,,1.0694039,0.972185364,1.0667652,0.969786545,1.066156,0.969232727
118,1.0844105,0.985827727,1.0801314,0.981937636,1.0755045,0.977731364,,1.0702307,0.972937,1.065796,0.968905455,1.0753479,0.977589,,1.0694026,0.972184182,1.0666987,0.969726091,1.066138,0.969216364
119,1.0845937,0.985994273,1.0803328,0.982120727,1.0753888,0.977626182,,1.0700929,0.972811727,1.0652734,0.968430364,1.0745568,0.976869818,,1.0693579,0.972143545,1.0667973,0.969815727,1.0661435,0.969221364
120,1.0846987,0.986089727,1.0803525,0.982138636,1.0752513,0.977501182,,1.0698879,0.972625364,1.065405,0.96855,1.0748792,0.977162909,,1.0693947,0.972177,1.0666791,0.969708273,1.066103,0.969184545
121,1.0846695,0.986063182,1.0803212,0.982110182,1.075214,0.977467273,,1.0698423,0.972583909,1.0652336,0.968394182,1.0748714,0.977155818,,1.0693183,0.972107545,1.0664834,0.969530364,1.0659908,0.969082545
122,1.084641,0.986037273,1.080315,0.982104545,1.0752245,0.977476818,,1.0700407,0.972764273,1.0649389,0.968126273,1.0742227,0.976566091,,1.0691833,0.971984818,1.0664562,0.969505636,1.0659597,0.969054273
123,1.0845835,0.985985,1.0802521,0.982047364,1.0751811,0.977437364,,1.0697416,0.972492364,1.0650541,0.968231,1.074585,0.976895455,,1.0691643,0.971967545,1.0663835,0.969439545,1.0659056,0.969005091
124,1.0844946,0.985904182,1.0801622,0.981965636,1.0752125,0.977465909,,1.0698091,0.972553727,1.0649588,0.968144364,1.0745187,0.976835182,,1.0690826,0.971893273,1.0663736,0.969430545,1.0658327,0.968938818
